MatchKey,DensityFile,SalinityFile,TemperatureFile,MeanDensity,MeanLabTemperature,MeanDensitySalinity,MeanInterpolatedSalinity,MeanInterpolatedTemperature,DensityIceThickness,SalinityIceThickness,TemperatureIceThickness,DensityFreeboard,MaxDensityDepth,MaxSalinityDepth,MaxTemperatureDepth
JC2-2_2021_NLEG27,JC2-2_2021_NLEG27_density.csv,JC2-2_2021_NLEG27_salinity.csv,JC2-2_2021_NLEG27_temperature.csv,869.25899814,21.1,0.64,0.890159420289855,-1.46270707070707,0.26,0.5,0.55,0.01,0.23,0.485,0.46
JC2-2_2021_NLEG40.5,JC2-2_2021_NLEG40.5_density.csv,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,886.15744464,22.96,2.90666666666667,2.59308333333333,-2.22388404761905,0.67,0.69,0.69,0.08,0.7,0.69,0.685
JC2-2_2021_P10,JC2-2_2021_P10_density.csv,JC2-2_2021_P10_main_salinity.csv,JC2-2_2021_P10_main_temperature.csv,882.645445495,20.945,1.93,1.66379005847953,-0.877613859649123,0.92,1.01,0.99,0.01,0.95,0.94,0.945
JC2-2_2021_P11,JC2-2_2021_P11_density.csv,JC2-2_2021_P11_main_salinity.csv,JC2-2_2021_P11_main_temperature.csv,895.954913913333,22.22,2.46,2.92422410546139,-1.56509717514124,1.46,1.43,1.44,0.14,1.475,1.43,1.47
JC2-2_2021_P8,JC2-2_2021_P8_density.csv,JC2-2_2021_P8_main_salinity.csv,JC2-2_2021_P8_main_temperature.csv,885.592204666667,21.6477777777778,1.44444444444444,1.52445893089961,-0.823860938480854,0.86,0.86,0.96,0.1,0.885,0.775,0.95
JC2-2_2021_P9,JC2-2_2021_P9_density.csv,JC2-2_2021_P9_main_salinity.csv,JC2-2_2021_P9_main_temperature.csv,893.796218848649,21.6081081081081,2.08108108108108,2.04006198836274,-0.885602615409473,1.73,1.7,1.83,0.24,1.75,1.65,1.81
JC3_2022_P5,JC3_2022_P5_main_density.csv,JC3_2022_P5_main_salinity.csv,JC3_2022_P5_main_temperature.csv,902.244157933333,21.1833333333333,7.68333333333333,7.40023591174907,-8.26734848484849,0.555,0.56,0.54,0.05,0.55,0.525,0.525
JC3_2022_P5,JC3_2022_P5_thinice_density.csv,JC3_2022_P5_main_salinity.csv,JC3_2022_P5_main_temperature.csv,896.2369863,20.7666666666667,8.03333333333333,7.34323498139288,-8.19090909090909,0.3,0.56,0.54,0.02,0.275,0.525,0.525
JC3_2022_P7,JC3_2022_P7_main_density.csv,JC3_2022_P7_main_salinity.csv,JC3_2022_P7_main_temperature.csv,911.622014485714,21.8857142857143,5.37142857142857,5.64330357142857,-4.70064732142857,0.34,0.33,0.375,-0.015,0.32,0.34,0.365
JC3_2022_Sice-K,JC3_2022_Sice-K _main_density.csv,JC3_2022_Sice-K_main_salinity.csv,JC3_2022_Sice-K_main_temperature.csv,918.178551827273,22.6181818181818,4.63636363636364,5.8698685261708,-4.04342424242424,0.51,0.54,0.495,0,0.5,0.5325,0.5
