DensityFile,DensityFolder,Time,Lon,Lat,SnowThickness,Freeboard,IceThickness,MinDepth,MaxDepth,LabTemperature,DensitySalinity,Density,DensityDepth,InterpolatedSalinity,InterpolatedTemperature,SalinityFile,TemperatureFile,SalinityIceThickness,TemperatureIceThickness
JC2-2_2021_NLEG27_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,31-Aug-2021 06:46:00,27.91,82.94,0.13,0.01,0.26,0,0.05,20.8,0.8,871.6242971,0.025,1.76521739130435,-0.74,JC2-2_2021_NLEG27_salinity.csv,JC2-2_2021_NLEG27_temperature.csv,0.5,0.55
JC2-2_2021_NLEG27_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,31-Aug-2021 06:46:00,27.91,82.94,0.13,0.01,0.26,0.05,0.1,21.1,0.4,863.1970788,0.075,0.6,-1.00909090909091,JC2-2_2021_NLEG27_salinity.csv,JC2-2_2021_NLEG27_temperature.csv,0.5,0.55
JC2-2_2021_NLEG27_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,31-Aug-2021 06:46:00,27.91,82.94,0.13,0.01,0.26,0.1,0.15,21,0.8,871.8833026,0.125,0.925797101449275,-1.54444444444444,JC2-2_2021_NLEG27_salinity.csv,JC2-2_2021_NLEG27_temperature.csv,0.5,0.55
JC2-2_2021_NLEG27_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,31-Aug-2021 06:46:00,27.91,82.94,0.13,0.01,0.26,0.15,0.2,21,0.5,868.7243265,0.175,0.659782608695653,-1.92,JC2-2_2021_NLEG27_salinity.csv,JC2-2_2021_NLEG27_temperature.csv,0.5,0.55
JC2-2_2021_NLEG27_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,31-Aug-2021 06:46:00,27.91,82.94,0.13,0.01,0.26,0.2,0.26,21.6,0.7,870.8659857,0.23,0.5,-2.1,JC2-2_2021_NLEG27_salinity.csv,JC2-2_2021_NLEG27_temperature.csv,0.5,0.55
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0,0.05,22.6,4.6,837.3046133,0.025,0.595238095238095,-4.71889285714286,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0.05,0.1,22.5,2.4,863.8423603,0.075,0.6,-3.90667857142857,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0.1,0.15,22.6,1.1,895.1292179,0.125,0.889285714285714,-3.09446428571429,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0.15,0.2,22.6,1.7,890.3778206,0.175,0.805,-2.78175,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0.2,0.25,23.2,3.9,896.9325725,0.225,1.48619047619048,-2.49796428571429,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0.25,0.3,23.8,3.7,905.9799518,0.275,2.27928571428571,-2.15683928571429,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0.3,0.35,22.6,2.6,874.7732099,0.325,3.16642857142857,-1.80944642857143,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0.35,0.4,22.4,2.6,866.2551048,0.375,3.71964285714286,-1.66348214285714,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0.4,0.45,23,3.3,866.1097555,0.425,3.76892857142857,-1.55094642857143,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0.45,0.5,22.6,4.6,871.7284488,0.475,3.72714285714286,-1.50610714285714,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
JC2-2_2021_NLEG40.5_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\JC2-2-2021_v2.0\JC2-2-2021_v2.0\density\processed,21-Sep-2021 06:46:00,-8.23,83.85,0.04,0.08,0.67,0.5,0.55,23.2,2.7,888.8459111,0.525,3.53,-1.47675,JC2-2_2021_NLEG40.5_salinity.csv,JC2-2_2021_NLEG40.5_temperature.csv,0.69,0.69
